source,ym_joke
irc bot,Yo momma so dumb she stopped at a stop sign and waited for it to say go!
irc bot,Yo momma so dumb she stared at da orange juice bottle cause it said concentrate
irc bot,Yo momma is so fat that when she stepped on the scale it said one at a time please.
irc bot,Yo mommas so fat you could slap her legs and ride the waves
irc bot,Yo momma so dumb she sold her car for gas money
irc bot,"Yo momma so fat, she got baptized at Sea World."
irc bot,"Yo momma so stupid, she got locked up in a super market and starved"
irc bot,Yo momma is so fat she walked out in high heels and came back in flip flops.
irc bot,Yo momma so fat when she ordered a water bed they layed a blanket on the Pacific Ocean
irc bot,"Yo momma like a shotgun, one cock and she blows."
irc bot,"Yo momma so dumb that when I said ""christmas is just around the corner"" she went looking for it!"
irc bot,Yo momma so fat it takes two busses and a train to get on her good side.
irc bot,"Yo momma is so stupid, I said it's chilly outside, your momma ran outside wit a bowl and a spoon and asked where??"
irc bot,Yo momma so fat she stepped on da scale and and it said to be continued...
irc bot,"Yo momma so poor, when I was asking why she was banging on the dumpster she said, ""My kids locked me out."""
irc bot,"Yo momma so dumb when she saw a bus with white people in it she said, ""Go catch that twinky."""
irc bot,"Yo momma so fat, she has to use a matress for a tampon."
irc bot,"Yo momma so stupid, she jumped off a boat and missed the water."
irc bot,"Yo momma so fat, when she stepped on the dog's tail we had to change his name to Beaver."
irc bot,"Yo momma so fat that when she goes outside in her yellow jacket people say ""Look it's the magic school bus!!!"""
irc bot,Yo momma so fat that when the school bus drives by she yells STOP THAT TWINKIE!
irc bot,"Yo momma so fat she went into a zoo and a zookeeper said, ""Oh boy...another elephant got out!"""
irc bot,"Yo momma so stupid, it took her two hours to watch 60 minutes"
irc bot,"Yo momma is like a brick, flat on both sides and gets laid by mexicans!"
irc bot,Yo momma so fat that when she went to wal-mart she tripped over k-mart and hit target!!!!:-D
irc bot,"Yo momma is so fat, she stepped on a dollar and made change."
irc bot,"Yo momma so poor when I saw her kickin' a can down the street, I asked her what was she doing and she said she was movin'"
irc bot,Yo mommas so stupid she got locked in mattress store and slept on the floor.
irc bot,Yo momma so fat she sat on a rainbow and skittles came out....
irc bot,Yo momma is so fat she jumped in to the ocean and the whales stated to sing we are family.
irc bot,Yo momma so fat she has her own zipcode
irc bot,"Yo momma is like a doornob, everyone gets a turn."
irc bot,Yo momma so fat she fell in love and broke it
irc bot,"Yo momma so fat, when she stepped onto the scale it said ""to infinity and beyond!"""
irc bot,"Yo momma so fat, when she went to swim in the ocean she said ""Oops I'm in the kiddy pool!"""
irc bot,"Yo momma is like a hockey playa, she doesnt changer her pads for 3 periods!"
irc bot,"Yo momma so ugly on Halloween, people go as her."
irc bot,Yo momma so fat that when she jumped for joy she got stuck!
irc bot,Yo momma is so fat that her cereal bowl comes with a lifeguard.
irc bot,Yo momma so fat her tanning bed was Mexico!
irc bot,Yo momma is so retarded she got stabbed in a shootout.
irc bot,"Yo momma so fat, she walked in front of the t.v and I missed a whole series of friends!"
irc bot,"Yo momma is so fat, she's taller sideways."
irc bot,Yo momma so stupid that she went to Dr. Dre for liposuction.
irc bot,"Yo momma so dumb, she sat on the TV to watch the couch"
irc bot,"Yo momma so fat, she uses the pacific ocean to take a bath."
irc bot,"Yo momma so horny, when she found out Winnie the Pooh had no pants, she a got a boner."
irc bot,Yo momma so greasy they hired her at the cinima to put the butter on the popcorn!
irc bot,Yo momma so stupid her favorite color is clear.
irc bot,Yo mommas so fat that at the circus she nicknamed the elephant pee wee.
irc bot,"Yo momma so fat that when she fell in the forest, the loggers said ""TIMBER""!"
irc bot,Yo momma is so fat that when she sweats she can be used as a steam roller.
irc bot,Yo momma so fat she has to use the ocean as her toilet!
