source,ym_joke
ym api,Yo momma is so fat that her bellybutton gets home 15 minutes before she does.
ym api,"Yo momma is so fat that when she was diagnosed with a flesh-eating disease, the doctor gave her ten years to live."
ym api,Yo momma is so fat that the National Weather Service names each one of her farts.
ym api,"Yo momma is so fat that when she wears a yellow raincoat, people yell ""taxi!"""
ym api,Yo momma is so fat and dumb that the only reason she opened her email was because she heard it contained spam.
ym api,Yo momma is so fat she threw on a sheet for Halloween and went as Antarctica.
ym api,Yo momma is so fat that she looked up cheat codes for Wii Fit
ym api,Yo momma is so fat that the only exercise she gets is when she chases the ice cream truck.
ym api,Yo momma is so fat that she sat on a dollar and squeezed a booger out George Washington's nose.
ym api,"Yo momma is so fat that when she gets in an elevator, it has to go down."
ym api,"Yo momma is so fat that when her beeper goes off, people think she's backing up."
ym api,Yo momma is so fat that she has to iron her pants on the driveway.
ym api,Yo momma is so fat that she left the house in high heels and came back wearing flip flops.
ym api,Yo momma is so fat that people jog around her for exercise.
ym api,Yo momma is so fat that she was floating in the ocean and Spain claimed her for the New World.
ym api,"Yo momma is so fat that when she walked in front of the TV, I missed 3 seasons of Breaking Bad."
ym api,Yo momma is so fat that you have to grease the door frame and hold a twinkie on the other side just to get her through!
ym api,"Yo momma is so fat that that when she sits on the beach, Greenpeace shows up and tries to tow her back into the ocean..."
ym api,"Yo momma is so fat that when she bungee jumps, she brings down the bridge too."
ym api,"Yo momma is so fat that when she talks to herself, itgs a long distance call."
ym api,"Yo momma is so fat that the last time she saw 90210, it was on a scale."
ym api,Yo momma is so fat that light bends around her.
ym api,Yo momma is so fat that I took a picture of her last Christmas and it's still printing!
ym api,"Yo momma is so fat that when she sat on Wal-Mart, she lowered the prices."
ym api,"Yo momma is so fat that when she sat on an iphone, it turned into an ipad."
ym api,Yo momma is so fat that even god can't lift her spirit.
ym api,Yo momma is so fat that she gets group insurance.
ym api,Yo momma is so fat that she was zoned for commercial development.
ym api,Yo momma is so fat that she walked into the Gap and filled it.
ym api,Yo momma is so fat that she comes at you from all directions.
ym api,"Yo momma is so fat that when she climbed onto a diving board at the beach, the lifeguard told your dad ""sorry, you can't park here""."
ym api,Yo momma is so fat that her cereal bowl came with a lifeguard.
ym api,Yo momma is so fat that she looks like shegs smuggling a Volkswagen.
ym api,"Yo momma is so fat that when she got her shoes shined, she had to take the guygs word for it."
ym api,"Yo momma is so fat that when she sings, itgs over for everybody."
ym api,"Yo momma is so fat that when she ran away, they had to use all four sides of the milk carton to display her picture."
ym api,"Yo momma is so fat that when she was growing up she didngt play with dolls, she played with midgets."
ym api,Yo momma is so fat that she uses two buses for roller-blades.
ym api,Yo momma's so fat she blew up the Deathstar.
ym api,"Yo momma is so fat that when she goes to a buffet, she gets the group rate."
ym api,Yo momma is so fat that she has to put her belt on with a boomerang.
ym api,Yo momma is so fat that she broke the Stairway to Heaven.
ym api,"Yo momma is so fat that she doesngt eat with a fork, she eats with a forklift."
ym api,"Yo momma is so fat that the last time the landlord saw her, he doubled the rent."
ym api,Yo momma is so fat that Weight Watchers wongt look at her.
ym api,"Yo momma is so fat that the highway patrol made her wear a sign saying ""Caution! Wide Turn""."
ym api,"Yo momma is so fat that when she sits around the house, she SITS AROUND THE HOUSE!"
ym api,"Yo momma is so fat that when she steps on a scale, it reads ""one at a time, please""."
ym api,Yo momma is so fat that she fell in love and broke it.
ym api,"Yo momma is so fat that when she gets on the scale it says ""We don't do livestock""."
ym api,"Yo momma is so fat that when she tripped on 4th Ave, she landed on 12th."
ym api,Yo momma is so fat that God couldn't light the Earth until she moved!
ym api,Yo momma is so fat that even Bill Gates couldn't pay for her liposuction!
ym api,Yo momma is so fat that she has to pull down her pants to get into her pockets.
ym api,"Yo momma is so fat that she was born on the fourth, fifth, and sixth of June."
ym api,Yo momma is so fat that she could fall down and wouldngt even know it.
ym api,"Yo momma is so fat that the sign inside one restaurant says, “Maximum occupancy: 300, or Yo momma.”"
ym api,Yo momma is so fat that she puts mayonnaise on aspirin.
ym api,Yo momma is so fat that she was born with a silver shovel in her mouth.
ym api,"Yo momma is so fat that when she hauls ass, she has to make two trips."
ym api,Yo momma is so fat that she had to go to Sea World to get baptized.
ym api,Yo momma is so fat that her bellybuttongs got an echo.
ym api,Yo momma is so fat that when she turns around people throw her a welcome back party.
ym api,"Yo momma is so fat that her belly button doesngt have lint, it has sweaters."
ym api,Yo momma is so fat that a picture of her would fall off the wall.
ym api,"Yo momma is so fat that when she takes a shower, her feet dongt get wet."
ym api,Yo momma is so fat that she puts on her lipstick with a paint-roller!
ym api,Yo momma is so fat that she could sell shade.
ym api,Yo momma is so fat that I ran around her twice and got lost.
ym api,Yo momma is so fat that the shadow of her butt weighs 100 pounds.
ym api,"Yo momma is so fat that when shegs standing on the corner police drive by and yell, “Hey, break it up.”"
ym api,Yo momma is so fat that her blood type is Ragu.
ym api,Yo momma is so fat that when she runs the fifty-yard dash she needs an overnight bag.
ym api,Yo momma is so fat that she cangt even fit into an AOL chat room.
ym api,"Yo momma is so fat when she goes skydiving she doesn't use a parachute to land, she uses a twin-engine plane!"
ym api,Yo momma is so fat MTX audio's subwoofers couldn't rattle her bones!
ym api,Yo momma is so fat her headphones are a pair of PA speakers connected to a car amplifier.
ym api,"Yo momma is so fat that she doesngt have a tailor, she has a contractor."
ym api,Yo momma is so fat that eating contests have banned her because she is unfair competition.
ym api,"Yo momma is so fat that she measures 36-24-36, and the other arm is just as big."
ym api,Yo momma is so fat that she gets her toenails painted at Luckygs Auto Body.
ym api,"Yo momma is so fat that when she goes to an amusement park, people try to ride HER!"
ym api,Yo momma is so fat that when she jumps up in the air she gets stuck!
ym api,Yo momma is so fat that she has more Chins than a Chinese phone book!
ym api,Yo momma is so fat that she influences the tides.
ym api,"Yo momma is so fat that when she plays hopscotch, she goes ""New York, L.A., Chicago..."""
ym api,Yo momma is so fat that NASA has to orbit a satellite around her!
ym api,Yo momma is so fat that when she sits on my face I can't hear the stereo.
ym api,Yo momma is so fat that they have to grease the bath tub to get her out!
ym api,Yo momma is so fat that she's on both sides of the family!
ym api,"Yo momma is so fat that at the zoo, the elephants throw HER peanuts."
ym api,Yo momma is so fat you have to roll over twice to get off her.
ym api,Yo momma is so fat that she sets off car alarms when she runs.
ym api,Yo momma is so fat that she cant reach into her back pocket.
ym api,Yo momma is so fat that she has her own gravity field.
ym api,Yo momma is so fat that she stepped on a rainbow and made Skittles.
ym api,Yo momma is so fat that the only pictures you have of her were taken by satellite cameras.
ym api,"Yo momma is so fat that when she wears a ""Malcolm X"" T-shirt, helicopters try to land on her back!"
ym api,Yo momma is so fat that it took Usain Bolt 3 years to run around her.
ym api,Yo momma so fat that she sweats more than a dog in a chinese restaurant.
ym api,"Yo momma so fat, that went she stepped in the water, Thailand had to declare another tsunami warning."
ym api,Yo momma is so fat that that she cant tie her own shoes.
ym api,"Yo momma is so fat that when she lays on the beach, people run around yelling Free Willy."
ym api,Yo momma is so fat that she uses redwoods to pick her teeth
ym api,Yo momma is so fat that she cut her leg and gravy poured out
ym api,Yo momma is so fat that she was in the Macygs Thanksgiving Day Parade... wearing ropes.
ym api,Yo momma is so fat that she went on a light diet. As soon as itgs light she starts eating.
ym api,"Yo momma is so fat that shegs half Italian, half Irish, and half American."
ym api,Yo momma is so fat that her waist size is the Equator.
ym api,Yo momma is so fat that she cangt even jump to a conclusion.
ym api,Yo momma is so fat that she uses a mattress for a tampon.
ym api,"Yo momma is so fat that when she got hit by a bus, she said, ""Who threw that rock at me?"""
ym api,Yo momma is so fat that we went to the drive-in and didn't have to pay for her because we dressed her up as a Toyota.
ym api,"Yo momma is so fat that when she was born, she gave the hospital stretch marks."
ym api,"Yo momma is so fat that she was cut from the cast of E.T., because she caused an eclipse when she rode the bike across the moon."
ym api,Yo momma is so fat that when you get on top of her your ears pop.
ym api,Yo momma is so fat that she got hit by a car and had to go to the hospital to have it removed.
ym api,"Yo momma is so fat that she eats ""Wheat Thicks""."
ym api,Yo momma is so fat that we're in her right now!
ym api,Yo momma is so fat that she went to the movie theatre and sat next to everyone.
ym api,Yo momma is so fat that she has been declared a natural habitat for condors.
ym api,"Yo momma is so fat that when she wants to shake someones hand, she has to give directions!"
ym api,Yo momma is so fat that even Dora can't explore her!
ym api,"Yo momma is so fat that when she gets on the scale it says ""to be continued""."
ym api,"Yo momma is so fat that when she goes to a resturant, she looks at the menu and says ""okay!"""
ym api,Yo momma is so fat that even Chuck Norris couldn't run around her.
ym api,Yo momma is so fat that her neck looks like a dozen hot dogs!
ym api,Yo momma is so fat that when she bungee jumps she goes straight to hell!
ym api,Yo momma is so fat that she's got her own area code!
ym api,Yo momma is so fat that she looks like she's smuggling a Volkswagon!
ym api,Yo momma is so fat that she has to buy three airline tickets.
ym api,Yo momma is so fat that whenever she goes to the beach the tide comes in!
ym api,Yo momma is so fat that she's got Amtrak written on her leg.
ym api,Yo momma is so fat that her legs are like spoiled milk - white & chunky!
ym api,Yo momma is so fat that I had to take a train and two buses just to get on the her good side!
ym api,Yo momma is so fat that she wakes up in sections!
ym api,"Yo momma so fat, all she wants for Christmas is to see her feet."
ym api,Yo momma is so fat that when she lies on the beach no one else gets any sun!
ym api,Yo momma is so fat that that her senior pictures had to be taken from a helicopter!
ym api,"Yo momma is so fat that everytime she walks in high heels, she strikes oil!"
ym api,Yo momma is so fat that she fell and created the Grand Canyon!
ym api,"Yo momma is so fat that her butt drags on the ground and kids yell - ""there goes santa claus with his bag of toys!"""
ym api,Yo momma is so fat that even her clothes have stretch marks!
ym api,Yo momma is so fat that she has to use a VCR as a beeper!
ym api,"Yo momma is so fat that when she asked for a waterbed, they put a blanket over the ocean!"
ym api,Yo momma is so fat that she got hit by a parked car!
ym api,Yo momma is so fat that they use the elastic in her underwear for bungee jumping.
ym api,"Yo momma is so fat that when we were playing Call of Duty, I got a 20 kill streak for killing her."
ym api,Yo momma is so fat that Dracula got Type 2 Diabetes after biting her neck.
ym api,"Yo momma is so fat that when she visited Toronto's City Hall, she was arrested for attempting to smuggle 500 lbs of crack into Mayor Rob Ford's office."
ym api,Yo momma is so fat that when she fell over she rocked herself asleep trying to get up again.
ym api,Yo momma is so fat that that when I tried to drive around her I ran out of gas.
ym api,"Yo momma is so fat that when she went to church and sat on a bible, Jesus came out and said ""LET MY PEOPLE GO!"""
ym api,Yo momma is so fat that when she dances at a concert the whole band skips.
ym api,Yo momma is so fat that she stands in two time zones.
ym api,Yo momma is so fat that she went to the fair and the kids thought she was a bouncy castle.
ym api,"Yo momma is so fat that when she goes to an all you can eat buffet, they have to install speed bumps."
ym api,Yo momma is so fat that the camera TAKES AWAY 10 lbs from her appearance.
ym api,Yo momma is so fat that her sedan can fit 5 people... or just yo momma with the front seats removed.
ym api,"Yo momma is so fat that when she went to seaworld the whales started singing ""We Are Family""."
ym api,Yo momma is so fat that she fell out of both sides of her bed.
ym api,Yo momma is so fat that the stripes on her pajamas never end.
ym api,"Yo momma is so fat, Al Gore accuses her of global warning everytime she farts!"
ym api,Yo momma is so fat that she's got every caterer in the city on speed dial!
ym api,"Yo momma's so fat that when she goes on a scale, it shows her own phone number."
ym api,Yo momma's so fat that she doesn't need the internet - she's worldwide.
ym api,"Yo momma's so fat that when she goes on a scale, it reads ""lose some weight""."
ym api,"Yo momma's so fat that she doesn't get dreams, she gets movies!"
ym api,"Yo momma's so fat that when she walks, she changes the earth's rotation!"
ym api,Yo momma is so fat that she uses the entire country of Mexico as her tanning bed.
ym api,Yo momma is so ugly that when she went to a beautician it took 12 hours... to get a quote!
ym api,Yo momma is so ugly that she looked out the window and got arrested for mooning.
ym api,Yo momma is so ugly that people go as her for Halloween.
ym api,Yo momma is so ugly that she turned Medusa to stone!
ym api,Yo momma is so ugly that the government moved Halloween to her birthday!
ym api,Yo momma is so ugly that she scares the roaches away.
ym api,Yo momma is so ugly that she scared the crap out of the toilet.
ym api,Yo momma is so ugly that... well... look at you!
ym api,"Yo momma is so ugly that when she looks in the mirror, the reflection looks back and shakes its head."
ym api,Yo momma is so ugly that she looks like she's been in a dryer filled with rocks.
ym api,Yo momma is so ugly that she makes blind children cry.
ym api,Yo momma is so ugly that she climbed the ugly ladder and didn't miss a step.
ym api,"Yo momma is so ugly that the last time I saw something that looked like her, I pinned a tail on it."
ym api,Yo momma is so ugly that we put her in the kennel when we go on vacation.
ym api,Yo momma is so ugly that her shadow ran away from her.
ym api,Yo momma is so ugly that she could scare the flies off a shit wagon.
ym api,Yo momma is so ugly that her birth certificate contained an apology letter from the condom factory.
ym api,Yo momma is so ugly that that your father takes her to work with him so that he doesn't have to kiss her goodbye.
ym api,Yo momma is so ugly that she tried to take a bath and the water jumped out!
ym api,"Yo momma is so ugly that when she walks down the street in September, people say ""Wow, is it Halloween already?"""
ym api,Yo momma is so ugly that her mom had to be drunk to breast feed her.
ym api,"Yo momma is so ugly that when she walks into a bank, they turn off the surveillence cameras."
ym api,Yo momma is so ugly that they didn't give her a costume when she auditioned for Star Wars.
ym api,Yo momma is so ugly that even Rice Krispies won't talk to her!
ym api,"Yo momma is so ugly that when she uploaded a photo of herself to a computer, it was rejected by the anti-virus software."
ym api,"Yo momma is so ugly that when she joined an ugly contest, they said ""Sorry, no professionals."""
ym api,Yo momma is so ugly that she could make a freight train take a dirt road.
ym api,"Yo momma is so ugly that that when she sits in the sand on the beach, cats try to bury her."
ym api,"Yo momma is so ugly that when she drove past area 51, she was thought to be extraterrestrial life. They took her away never to be seen again."
ym api,Yo momma is so ugly that they pay her to put her clothes on in strip joints
ym api,Yo momma is so ugly that you have to tie a steak around her neck so the dog will play with her!
ym api,"Yo momma is so ugly that just after she was born, her mother said ""What a treasure!"" and her father said ""Yes, let's go bury it."""
ym api,Yo momma is so ugly that she made an onion cry!
ym api,"Yo momma is so ugly that when I last saw a mouth like hers, it had a hook in it."
ym api,Yo momma is so ugly that she gets 364 extra days to dress up for Halloween!
ym api,"Yo momma is so ugly that when she plays Mortal Kombat, Scorpion tells her to ""Stay Over There!"""
ym api,Yo momma is so ugly that neither Jacob nor Edward want her on their team.
ym api,Yo momma is so ugly that they push her face into dough to make gorilla cookies.
ym api,"Yo momma is so ugly that when she goes to the therapist, he makes her lie on the couch face down."
ym api,Yo momma is so ugly that she gives Freddy Kreuger nightmares.
ym api,"Yo momma is so ugly that when she walks in the kitchen, the rats jump on the table and start screaming."
ym api,Yo momma is so ugly that even Bill Clinton wouldn't sleep with her.
ym api,"Yo momma is so ugly that when she was born, the doctor slapped her AND her parents!"
ym api,"Yo momma is so ugly that she didn't get hit with the ugly stick, she got hit by the whole damn tree."
ym api,Yo momma is so ugly that she has 7 years bad luck just trying to look at herself in the mirror.
ym api,Yo momma is so ugly that she practices birth control by leaving the lights on.
ym api,Yo momma is so ugly that she threw a boomerang and it wouldn't even come back.
ym api,Yo momma is so ugly that she'd scare the monster out of Loch Ness.
ym api,Yo momma is so ugly that it looks like she's been bobbing for french fries.
ym api,Yo momma is so ugly that her pillow cries at night.
ym api,Yo momma is so ugly that people at the circus pay money not to see her.
ym api,"Yo momma is so ugly that when she looks in the mirror it says ""viewer discretion is advised."""
ym api,Yo momma is so ugly that she can look up a camel's butt and scare the hump off of it.
ym api,"Yo momma is so ugly that when she moved into the projects, all her neighbors chipped in for curtains."
ym api,Yo momma is so ugly that Santa pays an elf to drop off her gifts at Christmas.
ym api,Yo momma is so ugly that people hang her picture in their cars so their radios don't get stolen.
ym api,Yo momma is so ugly that I took her to a haunted house and she came out with a job application.
ym api,"Yo momma is so ugly that if she was a scarecrow, the corn would run away."
ym api,Yo momma is so ugly that she could be the poster child for birth control.
ym api,"Yo momma is so ugly that I took her to the zoo, guy at the door said """""
ym api,Yo momma is so ugly that when she went to a beautician it took 12 hours... to get a quote!
ym api,Yo momma is so ugly that she looked out the window and got arrested for mooning.
ym api,Yo momma is so ugly that people go as her for Halloween.
ym api,Yo momma is so ugly that she turned Medusa to stone!
ym api,Yo momma is so ugly that the government moved Halloween to her birthday!
ym api,Yo momma is so ugly that she scares the roaches away.
ym api,Yo momma is so ugly that she scared the crap out of the toilet.
ym api,Yo momma is so ugly that... well... look at you!
ym api,"Yo momma is so ugly that when she looks in the mirror, the reflection looks back and shakes its head."
ym api,Yo momma is so ugly that she looks like she's been in a dryer filled with rocks.
ym api,Yo momma is so ugly that she makes blind children cry.
ym api,Yo momma is so ugly that she climbed the ugly ladder and didn't miss a step.
ym api,"Yo momma is so ugly that the last time I saw something that looked like her, I pinned a tail on it."
ym api,Yo momma is so ugly that we put her in the kennel when we go on vacation.
ym api,Yo momma is so ugly that her shadow ran away from her.
ym api,Yo momma is so ugly that she could scare the flies off a shit wagon.
ym api,Yo momma is so ugly that her birth certificate contained an apology letter from the condom factory.
ym api,Yo momma is so ugly that that your father takes her to work with him so that he doesn't have to kiss her goodbye.
ym api,Yo momma is so ugly that she tried to take a bath and the water jumped out!
