category,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,company
retail,#FF0000,#000000,#FFFF00,#FF9900,#F4811D,#CC0099,#990066,#9933CC,3m
manufacturer,#0053bf,#ffffff,#A30F27,#000000,,,,,paccar
auto,#EE1B2E,#ffffff,#E4EBEB,#000000,,,,,penske
manufacturer,#EFB200,#000000,#012F60,#6B567D,#E4645F,#8DA267,#ECB609,#404041,whirlpool
health-beauty,#0072bc,#ed1c24,#000000,#ffffff,,,,,henry-schein
natural-resource,#2B4295,#BCC3E5,#FC7837,,,,,,a-mark-precious-metals
pharmaceuticals,#0096d7,#7CCC6C,#004F71,#eeb33b,#460968,#64CCC9,,,abbott-laboratories
pharmaceuticals,#181f44,#000000,#ffffff,#081D4A,#A5ACBC,#817F7D,#009EC2,#11A2D1,abbvie
supplier,#0057ac,#FF9426,#0083be,#ffffff,,,,,abm-industries
technology,#ff0000,#000000,#999999,#ffffff,#fbb034,#ffdd00,#c1d82f,#8a7967,adobe
technology,#ED1C2E,#26328C,#5278D6,#F9AC84,#F2635D,#7D3520,#7A69AC,#ffffff,adp
auto,#A52238,#FAC40F,#000000,#ffffff,#4C4C4C,#CCCCCC,,,advance-auto-parts
technology,#000000,#00AAB5,#636366,#812990,#a6ce39,#f26522,#ed1c24,#9d9fa2,advanced-micro-devices
construction,#00B5E5,#84bd00,#f68b1f,#ffe512,#9e007e,#8c8279,#ffffff,#000000,aecom
energy,#0075B0,#003f60,#477018,#79B800,#7f8080,#E7B72D,,,aes
insurance,#01A7E1,#7D7D7D,#ffffff,#F89628,#ADCC0E,#F8D128,#C41200,,aflac
manufacturer,#c41230,#000000,#80BD00,#f5c300,#d77e08,#53585B,#C7B682,,agco
insurance,#00A3E7,#014189,#014189,#4A4A4A,#009BA6,#EBEBEB,,,aig
chemicals,#009539,#eeeeee,#aeaeae,#55b2e2,#ffffff,#ffd204,#6d6d6d,,air-products-chemicals
manufacturer,#c6003d,#000000,#2087c1,#e8e8e8,#1dc7d7,#af1217,#cdcdcd,#787878,ak-steel-holding
travel,#01426a,#3A80BB,#B3D57D,#48850C,#d5eef3,#bcbdc1,#6c6d71,,alaska-air-group
retail,#00529f,#009fe0,#E41720,#000000,#003A5D,,,,albertsons
manufacturer,#1450A1,#666666,#F47836,#CCCCCC,#ffffff,#000000,#3b852e,#0073cf,alcoa
financial-services,#000000,#ffffff,#666666,#e0e0e0,,,,,alleghany
technology,#d71a20,#231f20,#949599,#808080,#f8f7f7,#ffffff,,,alliance-data-systems
insurance,#0076B8,#45BCE5,#b63a25,#001E60,#F0F5F7,#95D600,,,allstate
financial-services,#3e0046,#650360,#005e8a,#8bc34a,#9c27b0,#3f51b5,#009688,#CB3974,ally-financial
technology,#F01716,#7BB64A,#F57B3F,#5B86E8,#DFCE7A,#76777A,#E9EAEA,#DA559F,alphabet
retail,#345C97,#29455F,#761B14,#43A468,#ED1C24,#66C5EF,#0084C3,#FAA61A,altria-group
retail,#FF9900,#146EB4,#45ACCB,#D89C0A,#CFEF9C,#FF878C,#FEE33C,,amazon
energy,#35962B,#E62021,#000000,#ffffff,,,,,ameren
travel,#0078D2,#36495A,#FFFFFF,#9DA6AB,#131313,#C30019,,,american-airlines-group
auto,#ed1b2e,#ffffff,#ffbe01,#000000,,,,,american-axle-manufacturing
retail,#C42A28,#717372,#000000,#AF2218,#025A95,#009CDE,#00AEB2,#E3994B,american-electric-power
financial-services,#6CC4EE,#7AD1F4,#FFFFFF,#FEC409,#B9C8DD,#004E99,,,american-express
insurance,#B80A34,#0E5994,#EDEDED,#717073,,,,,american-family-insurance-group
financial-services,#E31B23,#002664,#337ab7,#000000,,,,,american-financial-group
