color_1,color_1_proportion,color_2,color_2_proportion,color_3,color_3_proportion,color_4,color_4_proportion,color_5,color_5_proportion,color_6,color_6_proportion,company,screenshot_location
#fbfbfb,0.7971691703451087,#e13948,0.060487176227693736,#7db2a7,0.05600729405473171,#b6a598,0.03875843265492195,#e5ebf4,0.02897019694824465,#6f5c4d,0.018607729769299218,3m,screenshots_compressed/3m_WEBSITE.png
#fefefe,0.998321533203125,#bdbcbb,0.00164031982421875,#fdaf8a,2.288818359375e-05,#686868,1.52587890625e-05,,,,,a-mark-precious-metals,screenshots_compressed/a-mark-precious-metals_WEBSITE.png
#faf9f8,0.3248775348959705,#0e7cb8,0.21793521200948118,#d5e4f3,0.1531208849091388,#04334e,0.12328680537266262,#01cf68,0.09328417171451146,#1d1a0f,0.08749539109823545,abbott-laboratories,screenshots_compressed/abbott-laboratories_WEBSITE.png
#6b6159,0.31606127718639326,#735c62,0.21668997050448557,#fbfbfb,0.16364397179044918,#9ea2ae,0.1267439605637828,#0e1932,0.0929159735050673,#2f1a22,0.0839448464498219,abbvie,screenshots_compressed/abbvie_WEBSITE.png
#fdfdfd,0.42844442228758495,#0145ab,0.24158316300247604,#1c1e25,0.16468501254632167,#426680,0.0920991408677734,#979fa9,0.04424447878757665,#e0e4e9,0.028943782508267277,abm-industries,screenshots_compressed/abm-industries_WEBSITE.png
#fefefe,0.9976844787597656,#a5a5a5,0.00182342529296875,#686868,0.00025177001953125,#131313,0.000240325927734375,,,,,adobe,screenshots_compressed/adobe_WEBSITE.png
#faf8f8,0.8571381173767527,#24308b,0.04676075497364394,#bf9b8b,0.029926883183132122,#7c5841,0.025062105747736613,#2b2113,0.020956283359806902,#e8ebf2,0.020155855358927676,adp,screenshots_compressed/adp_WEBSITE.png
#fefefe,0.9975051879882812,#a4a4a4,0.001995086669921875,#676767,0.0002593994140625,#131313,0.000240325927734375,,,,,advance-auto-parts,screenshots_compressed/advance-auto-parts_WEBSITE.png
#fefefe,0.9976539611816406,#a5a5a5,0.001865386962890625,#131313,0.000240325927734375,#676767,0.000240325927734375,,,,,advanced-micro-devices,screenshots_compressed/advanced-micro-devices_WEBSITE.png
#f7f5ef,0.43774838719304443,#1a252b,0.13390401249459083,#02b4e1,0.12752242013061624,#745c4d,0.11463488636985382,#bba087,0.09384372808348297,#271c15,0.09234656572841177,aecom,screenshots_compressed/aecom_WEBSITE.png
#faf9f8,0.6449597118504603,#1375a9,0.2781939420285355,#e0b353,0.03871233174457779,#dce6f0,0.019173743615221003,#74accc,0.011593516635357315,#f5f9f6,0.0073667541258480695,aes,screenshots_compressed/aes_WEBSITE.png
#fafafa,0.34071419979034556,#0598ce,0.32417384131566734,#dff0f7,0.12140193500713169,#ecfcfb,0.10386485882696637,#353434,0.06546544998367446,#59b6dd,0.044379715076214535,aflac,screenshots_compressed/aflac_WEBSITE.png
#f7f5f4,0.702429261853563,#281b11,0.11665140837573719,#baa185,0.07513040516085077,#78583d,0.06432327705507888,#020305,0.021533351785220037,#be012e,0.019932295769550128,agco,screenshots_compressed/agco_WEBSITE.png
#f6f6f5,0.5037087695302225,#00196d,0.23137623069234411,#17628c,0.18705714297276188,#e0e6ed,0.034283355657441617,#bba497,0.0236284836737254,#87a1be,0.019946017473504454,aig,screenshots_compressed/aig_WEBSITE.png
#fafafa,0.9193052591342019,#d5e0e6,0.025328098620711625,#97a7b9,0.01669560093014366,#b09f8d,0.015580702704424554,#eaf2ee,0.014063644761571051,#716253,0.009026693848947217,air-products-chemicals,screenshots_compressed/air-products-chemicals_WEBSITE.png
#fafafa,0.4058760939872233,#525d71,0.23749143104673706,#263044,0.13763316048230065,#cde0ef,0.10659988140148122,#85a0be,0.07742969252703163,#2c2c2b,0.034969740555226114,ak-steel-holding,screenshots_compressed/ak-steel-holding_WEBSITE.png
#fefefe,0.9477070557122305,#050505,0.04612220131810428,#adadad,0.004392408879458715,#676767,0.0014654083490114218,#e5ebef,0.00016027903817312426,#7b9dc2,0.0001526467030220231,alaska-air-group,screenshots_compressed/alaska-air-group_WEBSITE.png
#fbfbfa,0.7748702679013914,#342e26,0.061087742722920085,#0a559c,0.05263826144652826,#b7a387,0.04801009186711829,#775d41,0.038397424607936693,#e6ecf3,0.02499621145410535,albertsons,screenshots_compressed/albertsons_WEBSITE.png
#fcfcfb,0.6387077242453075,#82543d,0.11013753135541908,#352219,0.10153533431364069,#b99c84,0.05291497275322204,#182632,0.052681428942133034,#3b5f79,0.04402300839027766,alcoa,screenshots_compressed/alcoa_WEBSITE.png
#f9f9f9,0.7126693725585938,#020202,0.2641487121582031,#5b5b5b,0.016399383544921875,#a2a2a2,0.00678253173828125,,,,,alleghany,screenshots_compressed/alleghany_WEBSITE.png
#f9f9f8,0.6993450855076027,#1c160e,0.07948080907398954,#121814,0.07940618744952066,#5c5142,0.05391631843241915,#d6d8da,0.05269603539698704,#8c9396,0.03515556413948098,alliance-data-systems,screenshots_compressed/alliance-data-systems_WEBSITE.png
#fdfdfd,0.5621173023522527,#eef3f6,0.37002517605564655,#01309d,0.0283809950237032,#7fa1cb,0.020152627382593567,#af9e96,0.011955680715769794,#3c5f9a,0.00736821847003421,allstate,screenshots_compressed/allstate_WEBSITE.png
#fafafa,0.9045324463461394,#dde9ef,0.03765197131051564,#595959,0.019762720341034934,#f2ebf2,0.01482104795208364,#5f025a,0.011760783364227055,#adadad,0.01147103068599939,ally-financial,screenshots_compressed/ally-financial_WEBSITE.png
#fefefd,0.9379852715981932,#e9eaea,0.049129300593291424,#bcaa92,0.005290374212215185,#7b95ce,0.0028087077635760623,#eee6e8,0.002620178064377121,#83bf57,0.0021661677683470176,alphabet,screenshots_compressed/alphabet_WEBSITE.png
#f9f9f9,0.6886300775411266,#d9eaf8,0.09691544992701753,#929fac,0.06352761717739779,#202f43,0.05908730280489355,#43586b,0.055707754550993485,#3e7855,0.03613179799857103,altria-group,screenshots_compressed/altria-group_WEBSITE.png
#faf9f8,0.49077546792398913,#cfecf1,0.2396279825689384,#ecf0ef,0.10830118588369766,#1f2b39,0.06939384197742535,#b99f88,0.056691134447778256,#4c606d,0.03521038719817117,amazon-com,screenshots_compressed/amazon-com_WEBSITE.png
#fcfcfc,0.6773290272366579,#dbe2e8,0.08489481523893022,#226ba8,0.07754999798710854,#2a7c3c,0.05722874051145335,#2d2621,0.05297035681855797,#6d594c,0.050027062207292035,ameren,screenshots_compressed/ameren_WEBSITE.png
#fcfbfb,0.6572659840989327,#d9e2e8,0.19938249078451553,#1c649c,0.0543293300476048,#83a8c4,0.03409421730911954,#675a48,0.028579277768438143,#b4a190,0.026348699991389314,american-airlines-group,screenshots_compressed/american-airlines-group_WEBSITE.png
#181614,0.27265686543516937,#032f4f,0.23300790412377523,#f6f6f6,0.19832889298011136,#e1e3e7,0.1764310181538162,#1f5d8a,0.06442347692934085,#ec1f32,0.05515184237778702,american-axle-manufacturing,screenshots_compressed/american-axle-manufacturing_WEBSITE.png
#fafaf9,0.5136959229926404,#8e4536,0.1140151192983685,#101b24,0.10706084241808712,#be0413,0.1020877839871521,#2a6183,0.09325735327226244,#372922,0.06988297803148937,american-electric-power,screenshots_compressed/american-electric-power_WEBSITE.png
#f8f8f8,0.737918670035042,#e1eaf3,0.08225212203354935,#6a634e,0.04758759419941754,#1c69ad,0.04488545951301528,#aea393,0.04404908449103363,#2b281c,0.04330706972794222,american-express,screenshots_compressed/american-express_WEBSITE.png
#f7f7f7,0.8105715838272003,#aea194,0.059578189475114195,#775d4b,0.03767681570412131,#dde3ec,0.035838611625261085,#475e84,0.030587206439233135,#919fb4,0.025747592929069946,american-family-insurance-group,screenshots_compressed/american-family-insurance-group_WEBSITE.png
#f9f9f8,0.8253347558004738,#afa49a,0.05029317383780514,#6f5d4d,0.0368483392416122,#0b1c43,0.03116967120848104,#d8e4eb,0.03031283076561214,#37648b,0.02604122914601569,american-financial-group,screenshots_compressed/american-financial-group_WEBSITE.png
#fafafa,0.7527473735592505,#bbcd90,0.07324570468647619,#d4e9ef,0.06255084674954595,#5e5b48,0.04133703314438498,#24282f,0.03526840487425187,#d70c42,0.034850636986090526,american-tower,screenshots_compressed/american-tower_WEBSITE.png
#f8f8f8,0.7444802661138393,#e0e6ea,0.09678156751771597,#406b81,0.08887934228261983,#8aaab8,0.04444164177104436,#f2f3f3,0.013419988491522351,#afad51,0.011997193823258161,ameriprise-financial,screenshots_compressed/ameriprise-financial_WEBSITE.png
#f8f8f8,0.40565643410579855,#05549b,0.17044539578759332,#549995,0.1577782568714499,#357975,0.13547546869293958,#d2e2f3,0.06835591184480885,#135854,0.06228853269740981,amerisource-bergen,screenshots_compressed/amerisource-bergen_WEBSITE.png
#f2f1f0,0.36693346904783936,#083155,0.2581937633015638,#d9e4ed,0.14829739983344128,#1b63a4,0.12314703432960118,#7dabcb,0.0555380771722032,#b99f8a,0.04789025631535116,amgen,screenshots_compressed/amgen_WEBSITE.png
#eeeeee,0.491497936313583,#82a7c0,0.1525749454684041,#112542,0.1248307290610835,#346598,0.1181288161981139,#c8d7e2,0.08639507634423425,#153a7b,0.02657249661458122,amphenol,screenshots_compressed/amphenol_WEBSITE.png
#fdfcfc,0.6735108916271116,#e0e4ec,0.19367598408208275,#746351,0.044101900241325855,#b19c7f,0.04151284141215579,#88a4c0,0.032295312524971635,#f2eff1,0.014903070112352368,anadarko-petroleum,screenshots_compressed/anadarko-petroleum_WEBSITE.png
#818181,0.35552062353653946,#767675,0.3263414714021385,#f7f7f7,0.12382309115619525,#1c1c11,0.09391937253360842,#53666b,0.052676393050711465,#11212a,0.04771904832080693,analog-devices,screenshots_compressed/analog-devices_WEBSITE.png
#ffffff,1.0,,,,,,,,,,,anixter-international,screenshots_compressed/anixter-international_WEBSITE.png
