senator,transaction_date,disclosure_date,ticker,asset_description,asset_type,amount,name_cleaned,first_name,last_name,full_name
Sheldon Whitehouse,08/30/2021,09/13/2021,BABA,Alibaba Group Holding Limited American Depositary,Stock,"$1,001 - $15,000",Sheldon Whitehouse,Sheldon,Whitehouse,Sheldon Whitehouse
Sheldon Whitehouse,08/27/2021,09/13/2021,--,"MACYS RETAIL HLDGS INC <div class=""text-muted""><em>Rate/Coupon:</em> 3.875%<br> <em>Matures:</em> 01/15/2022</div>",Corporate Bond,"$15,001 - $50,000",Sheldon Whitehouse,Sheldon,Whitehouse,Sheldon Whitehouse
Sheldon Whitehouse,08/30/2021,09/13/2021,MCHP,Microchip Technology Incorporated - Common Stock,Stock,"$15,001 - $50,000",Sheldon Whitehouse,Sheldon,Whitehouse,Sheldon Whitehouse
Sheldon Whitehouse,08/30/2021,09/13/2021,T,AT&amp;T Inc.,Stock,"$15,001 - $50,000",Sheldon Whitehouse,Sheldon,Whitehouse,Sheldon Whitehouse
Patrick J Toomey,01/16/2021,09/09/2021,--,"Fitso (Exchanged) <br> Zomato (Received) <div class=""text-muted""> <em>Company:</em> Zomato &nbsp;(Gurugam, India) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Zomato is a multinational online food delivery technology company.</div>",Non-Public Stock,"$1,001 - $15,000",Patrick J Toomey,Patrick,Toomey,Patrick Toomey
Thomas H Tuberville,08/30/2021,09/08/2021,CALX,"Calix, Inc Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $40.00 <br> <em>Expires:</em> 11/18/2022 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/30/2021,09/08/2021,ECOM,"ChannelAdvisor Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 03/18/2022 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/30/2021,09/08/2021,ECOM,"ChannelAdvisor Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 03/18/2022 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/27/2021,09/08/2021,CALX,"Calix, Inc Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $40.00 <br> <em>Expires:</em> 10/15/2021 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/18/2021,09/08/2021,SSYS,"Stratasys, Ltd. - Common Stock",Stock,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/12/2021,09/08/2021,SSBK,"Southern States Bancshares, Inc. - Common Stock",Stock,"$50,001 - $100,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/10/2021,09/08/2021,INTC,"Intel Corporation - Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $52.50 <br> <em>Expires:</em> 06/17/2022 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/02/2021,09/08/2021,OXY,"Occidental Petroleum Corporation Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $31.00 <br> <em>Expires:</em> 02/18/2022 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/02/2021,09/08/2021,OXY,"Occidental Petroleum Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $25.00 <br> <em>Expires:</em> 02/18/2022 </div>",Stock Option,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/20/2021,09/08/2021,--,Dec 21 KC Red Wheat,Commodities/Futures Contract,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/19/2021,09/08/2021,--,Call Dec 21 KC Red Wheat,Commodities/Futures Contract,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/18/2021,09/08/2021,--,Call Dec 21 KC Red Wheat,Commodities/Futures Contract,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/12/2021,09/08/2021,--,Call Dec 21 CBT Corn,Commodities/Futures Contract,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/12/2021,09/08/2021,--,Dec 21 CBT Corn,Commodities/Futures Contract,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/11/2021,09/08/2021,--,Aug 21 CME Cattle,Commodities/Futures Contract,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/10/2021,09/08/2021,--,Aug 21 CME Cattle,Commodities/Futures Contract,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,08/05/2021,09/08/2021,--,Sep 21 FDR Cattle,Commodities/Futures Contract,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Mark R Warner,08/04/2021,09/08/2021,--,"MSR-EB Waterfront Venture LLC (The Pointe at Stono Shores) <div class=""text-muted""> <em>Company:</em> MSR-EB Waterfront Venture LLC &nbsp;(Charleston, SC) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Real Estate</div>",Other Securities,"$100,001 - $250,000",Mark R Warner,Mark,Warner,Mark Warner
Thomas R Carper,08/23/2021,09/01/2021,LMRK,Landmark Infrastructure Partners LP - Common Units,Stock,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,08/13/2021,09/01/2021,--,"GS Contingent Autocall AAPL <div class=""text-muted""><em>Rate/Coupon:</em> 8.0%<br> <em>Matures:</em> 08/16/2024</div>",Corporate Bond,"$15,001 - $50,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,08/12/2021,09/01/2021,--,"CS Contingent Autocall CSCO <div class=""text-muted""><em>Rate/Coupon:</em> 8.25%<br> <em>Matures:</em> 05/11/2023</div>",Corporate Bond,"$15,001 - $50,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,08/11/2021,09/01/2021,WW,"WW International, Inc. - Common Stock",Stock,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,08/04/2021,09/01/2021,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",Stock,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Thomas R Carper,08/04/2021,09/01/2021,COR,CoreSite Realty Corporation Common Stock,Stock,"$1,001 - $15,000",Thomas R Carper,Thomas,Carper,Thomas Carper
Christopher A Coons,07/29/2021,08/16/2021,--,"W.L. Gore &amp; Associates, Inc. <div class=""text-muted""> <em>Company:</em> W.L. Gore &amp; Associates, Inc. &nbsp;(Newark, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Advanced materials manufacturing</div>",Non-Public Stock,"$250,001 - $500,000",Christopher A Coons,Christopher,Coons,Christopher Coons
Christopher A Coons,08/04/2021,08/16/2021,--,"W.L. Gore &amp; Associates, Inc. <div class=""text-muted""> <em>Company:</em> W.L. Gore &amp; Associates, Inc. &nbsp;(Newark, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Advanced materials manufacturing</div>",Non-Public Stock,"$500,001 - $1,000,000",Christopher A Coons,Christopher,Coons,Christopher Coons
Roger W Marshall,03/01/2021,08/13/2021,--,"20% Interest, Quivira Ranch, Inc. <div class=""text-muted""> <em>Company:</em> Quivira Ranch, Inc. &nbsp;(Stafford County, KS) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Ranch; land, fencing, and equipment rental; oil royalties.</div>",Non-Public Stock,"$250,001 - $500,000",Roger W Marshall,Roger,Marshall,Roger Marshall
Thomas H Tuberville,07/20/2021,08/13/2021,--,Dec 21 CBT Corn,Commodities/Futures Contract,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/19/2021,08/13/2021,--,Sep 21 FDR Cattle,Commodities/Futures Contract,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/09/2021,08/13/2021,--,Aug 21 CMS Cattle,Commodities/Futures Contract,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
Thomas H Tuberville,07/07/2021,08/13/2021,--,Dec 21 CBT Corn,Commodities/Futures Contract,"$1,001 - $15,000",Thomas H Tuberville,Thomas,Tuberville,Thomas Tuberville
