Movie_Name,Director,Year,Jump_Count,Jump_Scare_Rating,On_Netflix_US,IMDB_Rating
The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,2013,32,5,No,5.3
Extraterrestrial,Colin Minihan,2014,30,4.5,No,5
Resident Evil: The Final Chapter,Paul W.S. Anderson,2016,29,4.5,No,5.6
Paranormal Activity: The Ghost Dimension,Gregory Plotkin,2015,29,4,No,4.6
The Messengers,"Danny Pang, Oxide Chun Pang",2007,27,4.5,No,5.4
Evil Dead II,Sam Raimi,1987,27,4,No,7.8
The Haunting in Connecticut,Peter Cornwell,2009,26,4.5,No,5.9
Insidious,James Wan,2010,24,5,No,6.8
Freddy vs. Jason,Ronny Yu,2003,24,4,No,5.8
It Chapter Two,Andy Muschietti,2019,24,4,No,7
Annabelle: Creation,David F. Sandberg,2017,23,4.5,No,6.8
Drag Me To Hell,Sam Raimi,2009,23,4.5,No,6.6
Friday the 13th,Marcus Nispel,2009,23,4,No,5.6
It,Andy Muschietti,2017,23,4,No,8.2
Scream 3,Wes Craven,2000,23,4,No,5.5
The Grudge,Takashi Shimizu,2004,23,4,No,5.9
The Quiet Ones,John Pogue,2014,23,4,No,5.1
Banshee Chapter,Blair Erickson,2013,22,5,No,5.5
The Conjuring 2,James Wan,2016,22,5,No,7.4
Insidious: Chapter 2,James Wan,2013,22,4,No,6.6
Silent Hill: Revelation,Michael J. Bassett,2012,22,4,No,5
The Evil Dead,Sam Raimi,1981,22,4,No,7.6
Alone,"Banjong Pisanthanakun, Parkpoom Wongpoom",2007,21,4.5,No,6.6
The Nun,Corin Hardy,2018,21,4.5,No,6
Friend Request,Simon Verhoeven,2016,21,4,Yes,5.4
Ghostland,Pascal Laugier,2018,21,4,No,6.3
Paranormal Activity 4,"Henry Joost, Ariel Schulman",2012,21,4,No,4.6
Poltergeist,Gil Kenan,2015,21,4,No,5
The Burning,Tony Maylam,1981,21,4,No,6.5
The Gallows,"Travis Cluff, Chris Lofing",2015,21,4,No,4.2
The Abandoned,Eytan Rockaway,2015,21,3.5,No,5
Annabelle Comes Home,Gary Dauberman,2019,20,4,No,6
Evil Dead,Fede Alvarez,2013,20,4,No,6.5
Flatliners,Niels Arden Oplev,2017,20,4,No,5
Ghost Stories,"Jeremy Dyson, Andy Nyman",2017,20,4,No,6.6
Paranormal Activity 3,"Henry Joost, Ariel Schulman",2011,20,4,No,5.9
The Curse of La Llorona,Michael Chaves,2019,20,4,No,5.4
The Possession of Michael King,David Jung,2014,20,4,No,5.7
Viral,"Henry Joost, Ariel Schulman",2016,20,4,No,5.5
Lights Out,David F. Sandberg,2016,19,4.5,No,6.4
The Crucifixion,Xavier Gens,2017,19,4.5,No,5
Scream 2,Wes Craven,1997,19,4,No,6.1
Sinister 2,Ciarán Foy,2015,19,4,No,5.2
Summer of 84,"Anouk Whissell, François Simard, Yoann-Karl Whissell",2018,19,4,No,6.7
Don't Knock Twice,Caradog W. James,2016,19,3.5,No,5.2
Rings,F. Javier Gutiérrez,2017,19,3.5,No,4.5
Scream,Wes Craven,1996,19,3.5,No,7.2
The Taking of Deborah Logan,Adam Robitel,2014,19,3.5,No,6
The Lazarus Effect,David Gelb,2015,18,4.5,No,5.2
Blair Witch,Adam Wingard,2016,18,4,No,5
Ouija: Origin of Evil,Mike Flanagan,2016,18,4,No,6.1
The Crazies,Breck Eisner,2010,18,4,No,6.6
The Wolfman,Joe Johnston,2010,18,4,No,5.8
Scream 4,Wes Craven,2011,18,3.5,Yes,6.2
Terrifier,Damien Leone,2017,18,3.5,Yes,5.7
The Meg,Jon Turteltaub,2018,18,3.5,No,6.1
Stephanie,Akiva Goldsman,2017,18,3,Yes,5.8
Sinister,Scott Derrickson,2012,17,5,No,6.8
Demonic,Will Canon,2015,17,4,Yes,5.3
Exorcist: The Beginning,Renny Harlin,2004,17,4,No,5.1
Last Shift,Anthony DiBlasi,2014,17,4,No,5.7
Urban Legend,Jamie Blanks,1998,17,4,No,5.5
Winchester,"Michael Spierig, Peter Spierig",2018,17,4,No,5.4
28 Weeks Later,Juan Carlos Fresnadillo,2007,17,3.5,No,7
Don't Breathe,Fede Alvarez,2016,17,3.5,No,7.2
Gremlins,Joe Dante,1984,17,3.5,No,7.2
The Hallow,Corin Hardy,2015,17,3.5,No,5.7
The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman,2006,17,3.5,Yes,5.9
Thirteen Ghosts,Steve Beck,2001,17,3,No,5.5
The Strangers,Bryan Bertino,2008,16,4.5,No,6.2
Candyman,Bernard Rose,1992,16,4,No,6.6
Deliver Us From Evil,Scott Derrickson,2014,16,4,No,6.2
House of Wax,Jaume Collet-Serra,2005,16,4,No,5.3
Ouija,Stiles White,2014,16,4,No,4.4
P2,Franck Khalfoun,2007,16,4,No,5.9
The Amityville Horror,Andrew Douglas,2005,16,4,No,6
The Descent,Neil Marshall,2005,16,4,No,7.2
The Woman in Black,James Watkins,2012,16,4,No,6.5
Them (Ils),"David Moreau, Xavier Palud",2006,16,4,No,6.5
Chernobyl Diaries,Bradley Parker,2012,16,3.5,Yes,5
Gothika,Mathieu Kassovitz,2003,16,3.5,Yes,5.8
Halloween H20: 20 Years Later,Steve Miner,1998,16,3.5,No,5.6
Hide and Seek,John Polson,2005,16,3.5,No,5.9
The Fog,John Carpenter,1980,16,3.5,No,6.8
The Mummy,Alex Kurtzman,2017,16,3.5,No,5.5
The Other Side of the Door,Johannes Roberts,2016,16,3.5,No,5.3
Dark Was The Night,Jack Heller,2014,16,3,No,5.6
Halloween II,Rob Zombie,2009,16,3,No,4.9
The Cured,David Freyne,2017,16,3,No,5.6
The Texas Chainsaw Massacre,Marcus Nispel,2003,16,3,No,6.2
What Lies Beneath,Robert Zemeckis,2000,16,3,No,6.6
Tremors,Ron Underwood,1990,16,2.5,No,7.1
Dead Silence,James Wan,2007,15,4,No,6.2
Insidious: Chapter 3,Leigh Whannell,2015,15,4,No,6.1
Insidious: The Last Key,Adam Robitel,2018,15,4,No,5.8
Mirrors,Alexandre Aja,2008,15,4,No,6.2
The Ward,John Carpenter,2010,15,4,No,5.6
Doom,Andrzej Bartkowiak,2005,15,3.5,Yes,5.2
One Missed Call,Eric Valette,2008,15,3.5,No,3.9
Slender Man,Sylvain White,2018,15, 3.5,No,3.1
Super 8,J.J. Abrams,2011,15,3.5,No,7.1
A Nightmare on Elm Street,Samuel Bayer,2010,15,3,No,5.2
Cooties,"Jonathan Milott, Cary Murnion",2014,15,3,No,5.8
Martyrs,Pascal Laugier,2008,15,3,No,7.1
Silver Bullet,Dan Attias,1985,15,3,No,6.4
The Ritual,David Bruckner,2017,15,3,Yes,6.3
Uzumaki,Higuchinsky,2000,15,3,No,6.2
A Quiet Place,John Krasinski,2018,14,4,No,7.8
The Den,Zachary Donohue,2013,14,4,No,6.1
The Woman in Black 2: Angel of Death,Tom Harper,2014,14,4,No,4.9
V/H/S/2,Various Directors,2013,14,4,No,6.1
Backtrack,Michael Petroni,2015,14,3.5,No,5.9
Cult of Chucky,Don Mancini,2017,14,3.5,Yes,5.2
Halloween,David Gordon Green,2018,14,3.5,No,7.5
Oculus,Mike Flanagan,2013,14,3.5,No,6.5
Paranormal Activity 2,Tod Williams,2010,14,3.5,No,5.7
Pet Sematary,"Kevin Kölsch, Dennis Widmyer",2019,14,3.5,No,6.4
Quarantine,John Erick Dowdle,2008,14,3.5,No,6
The Strangers: Prey at Night,Johannes Roberts,2018,14,3.5,No,5.5
The Unborn,David S. Goyer,2009,14,3.5,Yes,4.8
A Tale of Two Sisters,Jee-woon Kim,2003,14,3,No,7.3
An American Werewolf in London,James Landis,1981,14,3,No,7.6
House on Haunted Hill,William Malone,1999,14,3,No,5.6
Tales of Halloween,Various Directors,2015,14,3,Yes,5.4
Texas Chainsaw 3D,John Luessenhop,2013,14,3,No,4.8
The Open House,"Matt Angel, Suzanne Coote",2018,14,3,Yes,3.3
Planet Terror,Robert Rodriguez,2007,14,2.5,No,7.2
Pandorum,Christian Alvart,2009,13,4,Yes,6.8
I Know What You Did,Jim Gillespie,1997,13,3.5,Yes,5.6
Last Summer,,,,,,
Mama,Andrés Muschietti,2013,13,3.5,No,6.2
Pet Sematary,Mary Lambert,1989,13,3.5,No,6.6
The Atticus Institute,Chris Sparling,2015,13,3.5,No,5.4
The Forest,Jason Zada,2016,13,3.5,No,4.8
Aliens,James Cameron,1986,13,3,No,8.4
Devil's Due,"Matt Bettinelli-Olpin, Tyler Gillett",2014,13,3,No,4.1
Disturbia,D.J. Caruso,2007,13,3,No,6.9
Dog Soldiers,Neil Marshall,2002,13,3,No,6.8
Fear Clinic,Robert Hall,2014,13,3,No,5.6
Leatherface,"Alexandre Bustillo, Julien Maury",2017,13,3,No,5.2
Pay The Ghost,Uli Edel,2015,13,3,No,5.2
