,title,release_date,production_budget,domestic_gross,worldwide_gross,genre,story_source,creative_type,production_method,production_company,MPAA_Rating,runtime,opening_theater_count,max_theater_count,avg_run_per_theater,actors,directors
0,Avengers: Endgame,"Apr 23, 2019","$400,000,000","$858,373,000","$2,797,800,564",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Animation/Live Action,Marvel Studios,PG-13,181 minutes,"4,662","4,662",8.1 weeks,"Robert Downey, Jr. | Chris Evans | Mark Ruffalo | Chris Hemsworth | Scarlett Johansson | Jeremy Renner | Don Cheadle | Paul Rudd | Brie Larson | Karen Gillan | Danai Gurira | Bradley Cooper | Josh Brolin | Benedict Wong | Jon Favreau | Gwyneth Paltrow | Evangeline Lilly | Benedict Cumberbatch | Tom Holland | Chris Pratt | Dave Bautista | Sebastian Stan | Terry Notary | Anthony Mackie | Tom Hiddleston | Letitia Wright | Samuel L. Jackson | Pom Klementieff | Paul Bettany | Elizabeth Olsen | Zoe Saldana | Chadwick Boseman",Joe Russo | Anthony Russo
1,Pirates of the Caribbean: On Stranger Tides,"May 20, 2011","$379,000,000","$241,063,875","$1,045,663,875",Adventure,Based on Theme Park Ride,Fantasy,Live Action,Walt Disney Pictures,PG-13,136 minutes,"4,155","4,155",6.0 weeks,Johnny Depp | PenÃ©lope Cruz | Geoffrey Rush | Ian McShane,Rob Marshall
2,Avengers: Age of Ultron,"Apr 22, 2015","$365,000,000","$459,005,868","$1,403,013,963",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Animation/Live Action,Marvel Studios,PG-13,141 minutes,"4,276","4,276",7.0 weeks,"James Spader | Robert Downey, Jr. | Chris Hemsworth | Mark Ruffalo | Chris Evans | Scarlett Johansson | Jeremy Renner | Samuel L. Jackson | Aaron Taylor-Johnson | Elizabeth Olsen",Joss Whedon
3,Star Wars Ep. VII: The Force Awakens,"Dec 16, 2015","$306,000,000","$936,662,225","$2,068,223,624",Adventure,Original Screenplay,Science Fiction,Animation/Live Action,Lucasfilm,PG-13,136 minutes,"4,134","4,134",9.2 weeks,Adam Driver | Daisy Ridley | John Boyega,J.J. Abrams
4,Avengers: Infinity War,"Apr 25, 2018","$300,000,000","$678,815,482","$2,048,359,754",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Animation/Live Action,Marvel Studios,PG-13,156 minutes,"4,474","4,474",7.7 weeks,"Robert Downey, Jr. | Chris Hemsworth | Mark Ruffalo | Chris Evans | Scarlett Johansson | Benedict Cumberbatch | Don Cheadle | Tom Holland | Chadwick Boseman | Paul Bettany | Elizabeth Olsen | Sebastian Stan | Danai Gurira | Letitia Wright | Dave Bautista | Zoe Saldana | Josh Brolin | Chris Pratt | Benedict Wong | Pom Klementieff | Karen Gillan | Vin Diesel | Bradley Cooper",Joe Russo | Anthony Russo
5,Pirates of the Caribbean: At Worldâs End,"May 24, 2007","$300,000,000","$309,420,425","$963,420,425",Adventure,Based on Theme Park Ride,Historical Fiction,Live Action,Walt Disney Pictures,PG-13,167 minutes,"4,362","4,362",6.1 weeks,Johnny Depp | Geoffrey Rush | Orlando Bloom | Keira Knightley | Jack Davenport,Gore Verbinski
6,Justice League,"Nov 13, 2017","$300,000,000","$229,024,295","$655,945,209",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,DC Films,PG-13,121 minutes,"4,051","4,051",5.5 weeks,Ben Affleck | Henry Cavill | Gal Gadot | Jason Momoa | Ezra Miller | Ray Fisher,Zack Snyder
7,Spectre,"Oct 6, 2015","$300,000,000","$200,074,175","$879,620,923",Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Eon Productions,PG-13,148 minutes,"3,929","3,929",6.0 weeks,Daniel Craig,Sam Mendes
8,Solo: A Star Wars Story,"May 23, 2018","$275,000,000","$213,767,512","$393,151,347",Adventure,Spin-Off,Science Fiction,Animation/Live Action,Lucasfilm,PG-13,135 minutes,"4,381","4,381",5.2 weeks,Alden Ehrenreich | Woody Harrelson | Emilia Clarke | Donald Glover | Thandie Newton | Paul Bettany | Phoebe Waller-Bridge | Joonas Suotamo | Jon Favreau,Ron Howard
9,John Carter,"Mar 7, 2012","$263,700,000","$73,058,679","$282,778,100",Adventure,Based on Fiction Book/Short Story,Science Fiction,Live Action,Walt Disney Pictures,PG-13,132 minutes,"3,749","3,749",4.3 weeks,Taylor Kitsch,Andrew Stanton
