Team,Wins,League
Manchester United,20,EPL
Liverpool,18,EPL
Arsenal,13,EPL
Everton,9,EPL
Aston Villa,7,EPL
Sunderland,6,EPL
Manchester City,6,EPL
Chelsea,6,EPL
Newcastle United FC,4,EPL
Sheffield Wednesday,4,EPL
Wolverhampton,3,EPL
Leeds United,3,EPL
Huddersfield Town,3,EPL
Blackburn Rovers,3,EPL
Preston North End,2,EPL
Tottenham Hotspur,2,EPL
Derby County,2,EPL
Burnley,2,EPL
Portsmouth,2,EPL
Sheffield United,1,EPL
West Bromwich Albion,1,EPL
Ipswich Town,1,EPL
Nottingham Forest,1,EPL
Leicester City,1,EPL
Bristol City,0,EPL
Oldham Athletic,0,EPL
Cardiff City,0,EPL
Charlton Athletic,0,EPL
Blackpool,0,EPL
Queen's Park Rangers,0,EPL
Watford FC,0,EPL
Southampton FC,0,EPL
