Team,Wins,League
Boston Celtics,17,NBA
Los Angeles Lakers,16,NBA
Golden State Warriors,6,NBA
Chicago Bulls,6,NBA
San Antonio Spurs,5,NBA
Philadelphia 76ers,3,NBA
Detroit Pistons,3,NBA
Miami Heat,3,NBA
New York Knicks,2,NBA
Houston Rockets,2,NBA
Cleveland Cavaliers,1,NBA
Atlanta Hawks,1,NBA
Washington Wizards,1,NBA
Oklahoma City Thunder,1,NBA
Portland Trail Blazers,1,NBA
Milwaukee Bucks,1,NBA
Dallas Mavericks,1,NBA
Baltimore Bullets (original) (folded in 1954),1,NBA
Sacramento Kings,1,NBA
Toronto Raptors,1,NBA
Phoenix Suns,0,NBA
Utah Jazz,0,NBA
Brooklyn Nets,0,NBA
Orlando Magic,0,NBA
Chicago Stags (folded in 1950),0,NBA
Washington Capitols (folded in 1951),0,NBA
Indiana Pacers,0,NBA
Charlotte Hornets,0,NBA
Denver Nuggets,0,NBA
Los Angeles Clippers,0,NBA
Memphis Grizzlies,0,NBA
Minnesota Timberwolves,0,NBA
New Orleans Pelicans,0,NBA
