Team,League,Wins
Louisiana,NCAA,2
Clemson,NCAA,3
Alabama,NCAA,8
Ohio State,NCAA,4
Florida State,NCAA,3
Auburn,NCAA,1
Florida,NCAA,3
Texas,NCAA,3
USC,NCAA,6
Miami,NCAA,4
Oklahoma,NCAA,6
Tennessee,NCAA,2
Nebraska,NCAA,3
Notre Dame,NCAA,8
Penn State,NCAA,2
BYU,NCAA,1
Georgia,NCAA,1
Pittsburgh,NCAA,3
Syracuse,NCAA,1
Maryland,NCAA,1
Michigan State,NCAA,1
Michigan,NCAA,4
Army,NCAA,3
Minnesota,NCAA,5
Texas A&M,NCAA,1
Texas Christian,NCAA,1
Georgia Tech,NCAA,2
California,NCAA,1
Cornell,NCAA,1
Harvard,NCAA,5
Yale,NCAA,16
Princeton,NCAA,9
Chicago,NCAA,1
Penn,NCAA,2
None selected,NCAA,1
