Team,Wins,League
Montreal Canadiens,24,NHL
Detroit Red Wings,11,NHL
Toronto Maple Leafs,13,NHL
Boston Bruins,6,NHL
Chicago Blackhawks,6,NHL
New York Rangers,4,NHL
Philadelphia Flyers,2,NHL
Edmonton Oilers,5,NHL
Pittsburgh Penguins,5,NHL
New York Islanders,4,NHL
New Jersey Devils,3,NHL
Dallas Stars,1,NHL
St. Louis Blues,1,NHL
Los Angeles Kings,2,NHL
Calgary Flames,1,NHL
Vancouver Canucks,0,NHL
Colorado Avalanche,2,NHL
Anaheim Ducks,1,NHL
Carolina Hurricanes,1,NHL
Tampa Bay Lightning,1,NHL
Washington Capitals,1,NHL
Buffalo Sabres,0,NHL
Florida Panthers,0,NHL
Nashville Predators,0,NHL
Ottawa Senators,0,NHL
San Jose Sharks,0,NHL
Vegas Golden Knights,0,NHL
